net_migration,N_compliers,cace_true,bias
-737.3737373737374,70000,0.117,-0.0012196201627873715
-737.3737373737374,80000,0.117,-0.0010685599899912523
-737.3737373737374,90000,0.117,-9.507959479015948e-4
-737.3737373737374,100000,0.117,-8.564123132457774e-4
-717.1717171717172,10000,0.117,-0.007829406220546661
-717.1717171717172,20000,0.117,-0.004050219405168212
-717.1717171717172,30000,0.117,-0.002731667214732003
-717.1717171717172,40000,0.117,-0.0020607789630364692
-717.1717171717172,50000,0.117,-0.0016544513045210207
-717.1717171717172,60000,0.117,-0.0013819663949426186
-717.1717171717172,70000,0.117,-0.0011865447793172335
-717.1717171717172,80000,0.117,-0.001039544487548505
-717.1717171717172,90000,0.117,-9.249526778755263e-4
-717.1717171717172,100000,0.117,-8.331160365058765e-4
-696.969696969697,10000,0.117,-0.007623229461756378
-696.969696969697,20000,0.117,-0.003939970717423136
-696.969696969697,30000,0.117,-0.002656465942744324
-696.969696969697,40000,0.117,-0.0020037230081906277
-696.969696969697,50000,0.117,-0.001608487746563067
-696.969696969697,60000,0.117,-0.0013434847728407417
-696.969696969697,70000,0.117,-0.0011534504929275602
-696.969696969697,80000,0.117,-0.0010105144573789027
-696.969696969697,90000,0.117,-8.990978950885464e-4
-696.969696969697,100000,0.117,-8.098104122780669e-4
-676.7676767676768,10000,0.117,-0.0074162724692526105
-676.7676767676768,20000,0.117,-0.0038295065950171153
-676.7676767676768,30000,0.117,-0.002581165623971038
-676.7676767676768,40000,0.117,-0.0019466103799354317
-676.7676767676768,50000,0.117,-0.0015624875423559947
-676.7676767676768,60000,0.117,-0.001304977526219414
-676.7676767676768,70000,0.117,-0.0011203372874088735
-676.7676767676768,80000,0.117,-9.814698885689255e-4
-676.7676767676768,90000,0.117,-8.732315918458383e-4
-676.7676767676768,100000,0.117,-7.864954349352943e-4
-656.5656565656566,10000,0.117,-0.007208530805687216
-656.5656565656566,20000,0.117,-0.0037188264058679865
-656.5656565656566,30000,0.117,-0.002505766062602971
-656.5656565656566,40000,0.117,-0.0018894409937888212
-656.5656565656566,50000,0.117,-0.0015164506480558337
-656.5656565656566,60000,0.117,-0.0012664446294754356
-656.5656565656566,70000,0.117,-0.0010872051465332239
-656.5656565656566,80000,0.117,-9.524107701941176e-4
-656.5656565656566,90000,0.117,-8.473537604456877e-4
-656.5656565656566,100000,0.117,-7.631710988459661e-4
-636.3636363636364,10000,0.117,-0.007000000000000006
-636.3636363636364,20000,0.117,-0.0036079295154185093
-636.3636363636364,30000,0.117,-0.0024302670623145423
-636.3636363636364,40000,0.117,-0.0018322147651006898
-636.3636363636364,50000,0.117,-0.0014703770197486699
-636.3636363636364,60000,0.117,-0.0012278860569715222
-636.3636363636364,70000,0.117,-0.0010540540540540377
-636.3636363636364,80000,0.117,-9.233370913190597e-4
-636.3636363636364,90000,0.117,-8.214643931795385e-4
-636.3636363636364,100000,0.117,-7.398373983739798e-4
-616.1616161616162,10000,0.117,-0.006790675547098016
-616.1616161616162,20000,0.117,-0.003496815286624197
-616.1616161616162,30000,0.117,-0.0023546684262619605
-616.1616161616162,40000,0.117,-0.0017749316090524825
-616.1616161616162,50000,0.117,-0.0014242666134504228
-616.1616161616162,60000,0.117,-0.0011893017830361674
-616.1616161616162,70000,0.117,-0.0010208839937061731
-616.1616161616162,80000,0.117,-8.942488409973692e-4
-616.1616161616162,90000,0.117,-7.955634823319652e-4
-616.1616161616162,100000,0.117,-7.164943278787222e-4
-595.959595959596,10000,0.117,-0.006580552907530984
-595.959595959596,20000,0.117,-0.0033854830799411595
-595.959595959596,30000,0.117,-0.0022789699570815586
-595.959595959596,40000,0.117,-0.0017175914406568904
-595.959595959596,50000,0.117,-0.0013781193851068185
-595.959595959596,60000,0.117,-0.0011506917819636697
-595.959595959596,70000,0.117,-9.876949492058779e-4
-595.959595959596,80000,0.117,-8.651460082717138e-4
-595.959595959596,90000,0.117,-7.696510201806173e-4
-595.959595959596,100000,0.117,-6.931418817150287e-4
-575.7575757575758,10000,0.117,-0.006369627507163328
-575.7575757575758,20000,0.117,-0.0032739322533137105
-575.7575757575758,30000,0.117,-0.0022031714568880173
-575.7575757575758,40000,0.117,-0.0016601941747572957
-575.7575757575758,50000,0.117,-0.0013319352905931808
-575.7575757575758,60000,0.117,-0.001112056028014008
-575.7575757575758,70000,0.117,-9.544869042507342e-4
-575.7575757575758,80000,0.117,-8.360285821737423e-4
-575.7575757575758,90000,0.117,-7.437269989963163e-4
-575.7575757575758,100000,0.117,-6.697800542331961e-4
-555.5555555555557,10000,0.117,-0.006157894736842098
-555.5555555555557,20000,0.117,-0.0031621621621621687
-555.5555555555557,30000,0.117,-0.0021272727272727276
-555.5555555555557,40000,0.117,-0.0016027397260273968
-555.5555555555557,50000,0.117,-0.0012857142857142928
-555.5555555555557,60000,0.117,-0.001073394495412855
-555.5555555555557,70000,0.117,-9.212598425196866e-4
-555.5555555555557,80000,0.117,-8.068965517241539e-4
-555.5555555555557,90000,0.117,-7.17791411042959e-4
-555.5555555555557,100000,0.117,-6.464088397790252e-4
-535.3535353535353,10000,0.117,-0.005945349952061363
-535.3535353535353,20000,0.117,-0.0030501721593703818
-535.3535353535353,30000,0.117,-0.0020512735693020145
-535.3535353535353,40000,0.117,-0.0015452280089708476
-535.3535353535353,50000,0.117,-0.0012394563262042857
-535.3535353535353,60000,0.117,-0.0010347071583514111
-535.3535353535353,70000,0.117,-8.880137476729166e-4
-535.3535353535353,80000,0.117,-7.777499059325316e-4
-535.3535353535353,90000,0.117,-6.918442485775028e-4
-535.3535353535353,100000,0.117,-6.230282326936676e-4
-515.1515151515152,10000,0.117,-0.00573198847262249
-515.1515151515152,20000,0.117,-0.002937961595273278
-515.1515151515152,30000,0.117,-0.001975173783515402
-515.1515151515152,40000,0.117,-0.0014876589379207161
-515.1515151515152,50000,0.117,-0.0011931613677264585
-515.1515151515152,60000,0.117,-9.959939909864879e-4
-515.1515151515152,70000,0.117,-8.547486033519541e-4
-515.1515151515152,80000,0.117,-7.485886337975228e-4
-515.1515151515152,90000,0.117,-6.658855038500361e-4
-515.1515151515152,100000,0.117,-5.996382273138479e-4
-494.949494949495,10000,0.117,-0.005517805582290675
-494.949494949495,20000,0.117,-0.002825529817644168
-494.949494949495,30000,0.117,-0.0018989731699238233
-494.949494949495,40000,0.117,-0.0014300324270391795
-494.949494949495,50000,0.117,-0.0011468293658731948
-494.949494949495,60000,0.117,-9.572549674403269e-4
-494.949494949495,70000,0.117,-8.214643931795385e-4
-494.949494949495,80000,0.117,-7.194127243067006e-4
-494.949494949495,90000,0.117,-6.39915169103708e-4
-494.949494949495,100000,0.117,-5.762388179716693e-4
-474.7474747474748,10000,0.117,-0.005302796528447451
-474.7474747474748,20000,0.117,-0.0027128761716822825
-474.7474747474748,30000,0.117,-0.0018226715280079547
-474.7474747474748,40000,0.117,-0.0013723483903169548
-474.7474747474748,50000,0.117,-0.0011004602761657128
-474.7474747474748,60000,0.117,-9.184900618005726e-4
-474.7474747474748,70000,0.117,-7.881611007596323e-4
-474.7474747474748,80000,0.117,-6.902221664365632e-4
-474.7474747474748,90000,0.117,-6.139332365747568e-4
-474.7474747474748,100000,0.117,-5.528299989946833e-4
-454.5454545454546,10000,0.117,-0.005086956521739128
-454.5454545454546,20000,0.117,-0.002600000000000019
-454.5454545454546,30000,0.117,-0.0017462686567164265
-454.5454545454546,40000,0.117,-0.001314606741573049
-454.5454545454546,50000,0.117,-0.0010540540540540655
-454.5454545454546,60000,0.117,-8.796992481203136e-4
-454.5454545454546,70000,0.117,-7.548387096774217e-4
-454.5454545454546,80000,0.117,-6.610169491525486e-4
-454.5454545454546,90000,0.117,-5.879396984924679e-4
-454.5454545454546,100000,0.117,-5.294117647058894e-4
-434.3434343434344,10000,0.117,-0.004870280735721211
-434.3434343434344,20000,0.117,-0.0024869006426099932
-434.3434343434344,30000,0.117,-0.001669764354464004
-434.3434343434344,40000,0.117,-0.0012568073944541625
-434.3434343434344,50000,0.117,-0.0010076106549168906
-434.3434343434344,60000,0.117,-8.408825004178611e-4
-434.3434343434344,70000,0.117,-7.214972034992051e-4
-434.3434343434344,80000,0.117,-6.317970614090201e-4
-434.3434343434344,90000,0.117,-5.619345470792014e-4
-434.3434343434344,100000,0.117,-5.059841094237211e-4
-414.1414141414142,10000,0.117,-0.0046527643064985386
-414.1414141414142,20000,0.117,-0.0023735774369124246
-414.1414141414142,30000,0.117,-0.001593158419129867
-414.1414141414142,40000,0.117,-0.0011989502624343978
-414.1414141414142,50000,0.117,-9.611300340613138e-4
-414.1414141414142,60000,0.117,-8.020397926768175e-4
-414.1414141414142,70000,0.117,-6.881365657724764e-4
-414.1414141414142,80000,0.117,-6.02562492149239e-4
-414.1414141414142,90000,0.117,-5.359177745503374e-4
-414.1414141414142,100000,0.117,-4.825470274620325e-4
-393.939393939394,10000,0.117,-0.004434402332361517
-393.939393939394,20000,0.117,-0.0022600297176820217
-393.939393939394,30000,0.117,-0.0015164506480558337
-393.939393939394,40000,0.117,-0.0011410352588147044
-393.939393939394,50000,0.117,-9.146121467227958e-4
-393.939393939394,60000,0.117,-7.631710988459661e-4
-393.939393939394,70000,0.117,-6.547567800258142e-4
-393.939393939394,80000,0.117,-5.733132303053223e-4
-393.939393939394,90000,0.117,-5.098893731143167e-4
-393.939393939394,100000,0.117,-4.591005131300979e-4
-373.7373737373738,10000,0.117,-0.004215189873417735
-373.7373737373738,20000,0.117,-0.0021462568170550478
-373.7373737373738,30000,0.117,-0.0014396408380445702
-373.7373737373738,40000,0.117,-0.001083062296722545
-373.7373737373738,50000,0.117,-8.680569480649658e-4
-373.7373737373738,60000,0.117,-7.242763928392154e-4
-373.7373737373738,70000,0.117,-6.213578297688954e-4
-373.7373737373738,80000,0.117,-5.440492647982992e-4
-373.7373737373738,90000,0.117,-4.838493349726136e-4
-373.7373737373738,100000,0.117,-4.356445607326259e-4
-353.5353535353536,10000,0.117,-0.00399512195121951
-353.5353535353536,20000,0.117,-0.0020322580645161376
-353.5353535353536,30000,0.117,-0.0013627287853577447
-353.5353535353536,40000,0.117,-0.001025031289111411
-353.5353535353536,50000,0.117,-8.214643931795523e-4
-353.5353535353536,60000,0.117,-6.85355648535585e-4
-353.5353535353536,70000,0.117,-5.87939698492454e-4
-353.5353535353536,80000,0.117,-5.147705845380268e-4
-353.5353535353536,90000,0.117,-4.577976523197358e-4
-353.5353535353536,100000,0.117,-4.121791645697037e-4
-333.33333333333337,10000,0.117,-0.0037741935483871086
-333.33333333333337,20000,0.117,-0.0019180327868852515
-333.33333333333337,30000,0.117,-0.0012857142857142928
-333.33333333333337,40000,0.117,-9.669421487603497e-4
-333.33333333333337,50000,0.117,-7.748344370861054e-4
-333.33333333333337,60000,0.117,-6.464088397790113e-4
-333.33333333333337,70000,0.117,-5.545023696682388e-4
-333.33333333333337,80000,0.117,-4.8547717842323257e-4
-333.33333333333337,90000,0.117,-4.317343173431687e-4
-333.33333333333337,100000,0.117,-3.887043189368805e-4
-313.13131313131316,10000,0.117,-0.0035523996082272302
-313.13131313131316,20000,0.117,-0.0018035803083043395
-313.13131313131316,30000,0.117,-0.001208597134288586
-313.13131313131316,40000,0.117,-9.087947882736314e-4
-313.13131313131316,50000,0.117,-7.281670347319968e-4
-313.13131313131316,60000,0.117,-6.074359403785007e-4
-313.13131313131316,70000,0.117,-5.210458267490142e-4
-313.13131313131316,80000,0.117,-4.5616903534145825e-4
-313.13131313131316,90000,0.117,-4.056593222234589e-4
-313.13131313131316,100000,0.117,-3.6522001812505644e-4
-292.92929292929296,10000,0.117,-0.003329735034347414
-292.92929292929296,20000,0.117,-0.0016888999502240043
-292.92929292929296,30000,0.117,-0.0011313771257085714
-292.92929292929296,40000,0.117,-8.505891200802224e-4
-292.92929292929296,50000,0.117,-6.814621409921701e-4
-292.92929292929296,60000,0.117,-5.684369241078929e-4
-292.92929292929296,70000,0.117,-4.875700531685456e-4
-292.92929292929296,80000,0.117,-4.2684614416907407e-4
-292.92929292929296,90000,0.117,-3.7957265913413085e-4
-292.92929292929296,100000,0.117,-3.4172625642057974e-4
-272.72727272727275,10000,0.117,-0.0031061946902654902
-272.72727272727275,20000,0.117,-0.0015739910313901373
-272.72727272727275,30000,0.117,-0.0010540540540540516
-272.72727272727275,40000,0.117,-7.9232505643341e-4
-272.72727272727275,50000,0.117,-6.34719710669085e-4
-272.72727272727275,60000,0.117,-5.294117647058894e-4
-272.72727272727275,70000,0.117,-4.5407503234153046e-4
-272.72727272727275,80000,0.117,-3.9750849377125086e-4
-272.72727272727275,90000,0.117,-3.5347432024170067e-4
-272.72727272727275,100000,0.117,-3.1822302810517733e-4
-252.52525252525254,10000,0.117,-0.0028817733990147837
-252.52525252525254,20000,0.117,-0.0014588528678304152
-252.52525252525254,30000,0.117,-9.766277128547551e-4
-252.52525252525254,40000,0.117,-7.340025094102892e-4
-252.52525252525254,50000,0.117,-5.879396984924679e-4
-252.52525252525254,60000,0.117,-4.903604358759417e-4
-252.52525252525254,70000,0.117,-4.2056074766355644e-4
-252.52525252525254,80000,0.117,-3.6815607300190456e-4
-252.52525252525254,90000,0.117,-3.2736429770566233e-4
-252.52525252525254,100000,0.117,-2.9471032745592707e-4
-232.32323232323233,10000,0.117,-0.0026564659427443377
-232.32323232323233,20000,0.117,-0.0013434847728407556
-232.32323232323233,30000,0.117,-8.990978950885464e-4
-232.32323232323233,40000,0.117,-6.75621390911374e-4
-232.32323232323233,50000,0.117,-5.411220591192423e-4
-232.32323232323233,60000,0.117,-4.5128291128626596e-4
-232.32323232323233,70000,0.117,-3.870271825111432e-4
-232.32323232323233,80000,0.117,-3.387888707037795e-4
-232.32323232323233,90000,0.117,-3.0124258367850154e-4
-232.32323232323233,100000,0.117,-2.711881487453549e-4
-212.12121212121212,10000,0.117,-0.0024302670623145423
-212.12121212121212,20000,0.117,-0.0012278860569715222
-212.12121212121212,30000,0.117,-8.214643931795385e-4
-212.12121212121212,40000,0.117,-6.171816126601531e-4
-212.12121212121212,50000,0.117,-4.9426674713339e-4
-212.12121212121212,60000,0.117,-4.121791645697176e-4
-212.12121212121212,70000,0.117,-3.534743202416868e-4
-212.12121212121212,80000,0.117,-3.094068757083651e-4
-212.12121212121212,90000,0.117,-2.7510917030568183e-4
-212.12121212121212,100000,0.117,-2.4765648624132386e-4
-191.91919191919192,10000,0.117,-0.0022031714568880173
-191.91919191919192,20000,0.117,-0.001112056028014008
-191.91919191919192,30000,0.117,-7.437269989963163e-4
-191.91919191919192,40000,0.117,-5.586830862025771e-4
-191.91919191919192,50000,0.117,-4.473737170457015e-4
-191.91919191919192,60000,0.117,-3.73049169323722e-4
-191.91919191919192,70000,0.117,-3.199021441934041e-4
-191.91919191919192,80000,0.117,-2.800100768358821e-4
-191.91919191919192,90000,0.117,-2.489640497256168e-4
-191.91919191919192,100000,0.117,-2.241153342070895e-4
-171.71717171717182,10000,0.117,-0.001975173783515388
-171.71717171717182,20000,0.117,-9.959939909865018e-4
-171.71717171717182,30000,0.117,-6.658855038500361e-4
-171.71717171717182,40000,0.117,-5.001257229067246e-4
-171.71717171717182,50000,0.117,-4.0044292329374787e-4
-171.71717171717182,60000,0.117,-3.338928991103024e-4
-171.71717171717182,70000,0.117,-2.8631063768533305e-4
-171.71717171717182,80000,0.117,-2.5059846289531007e-4
-171.71717171717182,90000,0.117,-2.2280721406968407e-4
-171.71717171717182,100000,0.117,-2.0056468690128615e-4
-151.51515151515162,10000,0.117,-0.0017462686567164265
-151.51515151515162,20000,0.117,-8.796992481203136e-4
-151.51515151515162,30000,0.117,-5.879396984924679e-4
-151.51515151515162,40000,0.117,-4.415094339622755e-4
-151.51515151515162,50000,0.117,-3.5347432024170067e-4
-151.51515151515162,60000,0.117,-2.9471032745592707e-4
-151.51515151515162,70000,0.117,-2.526997840172768e-4
-151.51515151515162,80000,0.117,-2.2117202268431835e-4
-151.51515151515162,90000,0.117,-1.966386554621974e-4
-151.51515151515162,100000,0.117,-1.7700453857791287e-4
-131.3131313131314,10000,0.117,-0.0015164506480558337
-131.3131313131314,20000,0.117,-7.631710988459661e-4
-131.3131313131314,30000,0.117,-5.098893731143167e-4
-131.3131313131314,40000,0.117,-3.828341303800664e-4
-131.3131313131314,50000,0.117,-3.0646786218013755e-4
-131.3131313131314,60000,0.117,-2.555014278515094e-4
-131.3131313131314,70000,0.117,-2.190695664698178e-4
-131.3131313131314,80000,0.117,-1.9173074498929354e-4
-131.3131313131314,90000,0.117,-1.7045836602040676e-4
-131.3131313131314,100000,0.117,-1.534348834863336e-4
-111.1111111111112,10000,0.117,-0.0012857142857142928
-111.1111111111112,20000,0.117,-6.464088397789974e-4
-111.1111111111112,30000,0.117,-4.317343173431687e-4
-111.1111111111112,40000,0.117,-3.2409972299168865e-4
-111.1111111111112,50000,0.117,-2.594235033259451e-4
-111.1111111111112,60000,0.117,-2.1626617375231083e-4
-111.1111111111112,70000,0.117,-1.854199683042762e-4
-111.1111111111112,80000,0.117,-1.6227461858529801e-4
-111.1111111111112,90000,0.117,-1.4426633785449838e-4
-111.1111111111112,100000,0.117,-1.298557158712632e-4
-90.90909090909099,10000,0.117,-0.0010540540540540655
-90.90909090909099,20000,0.117,-5.294117647058894e-4
-90.90909090909099,30000,0.117,-3.5347432024170067e-4
-90.90909090909099,40000,0.117,-2.6530612244897445e-4
-90.90909090909099,50000,0.117,-2.1234119782213845e-4
-90.90909090909099,60000,0.117,-1.7700453857791287e-4
-90.90909090909099,70000,0.117,-1.5175097276264038e-4
-90.90909090909099,80000,0.117,-1.328036322360976e-4
-90.90909090909099,90000,0.117,-1.1806256306760854e-4
-90.90909090909099,100000,0.117,-1.0626702997275361e-4
-70.70707070707078,10000,0.117,-8.214643931795385e-4
-70.70707070707078,20000,0.117,-4.121791645697037e-4
-70.70707070707078,30000,0.117,-2.7510917030568183e-4
-70.70707070707078,40000,0.117,-2.0645323922360848e-4
-70.70707070707078,50000,0.117,-1.652208997377641e-4
-70.70707070707078,60000,0.117,-1.3771649571213407e-4
-70.70707070707078,70000,0.117,-1.1806256306759466e-4
-70.70707070707078,80000,0.117,-1.0331777469407832e-4
-70.70707070707078,90000,0.117,-9.18470337557542e-5
-70.70707070707078,100000,0.117,-8.266882002624931e-5
-50.505050505050576,10000,0.117,-5.879396984924817e-4
-50.505050505050576,20000,0.117,-2.947103274559132e-4
-50.505050505050576,30000,0.117,-1.966386554621835e-4
-50.505050505050576,40000,0.117,-1.4754098360657275e-4
-50.505050505050576,50000,0.117,-1.1806256306762242e-4
-50.505050505050576,60000,0.117,-9.840201850296049e-5
-50.505050505050576,70000,0.117,-8.435472242247777e-5
-50.505050505050576,80000,0.117,-7.381703470031586e-5
-50.505050505050576,90000,0.117,-6.561974200784693e-5
-50.505050505050576,100000,0.117,-5.906108026249024e-5
-30.30303030303037,10000,0.117,-3.5347432024170067e-4
-30.30303030303037,20000,0.117,-1.7700453857792675e-4
-30.30303030303037,30000,0.117,-1.1806256306762242e-4
-30.30303030303037,40000,0.117,-8.856926570781354e-5
-30.30303030303037,50000,0.117,-7.086614173229533e-5
-30.30303030303037,60000,0.117,-5.906108026250412e-5
-30.30303030303037,70000,0.117,-5.0627434011241146e-5
-30.30303030303037,80000,0.117,-4.430140098447832e-5
-30.30303030303037,90000,0.117,-3.938067990574834e-5
-30.30303030303037,100000,0.117,-3.54438049076089e-5
-10.10101010101016,10000,0.117,-1.1806256306762242e-4
-10.10101010101016,20000,0.117,-5.906108026250412e-5
-10.10101010101016,30000,0.117,-3.938067990576222e-5
-10.10101010101016,40000,0.117,-2.9537995455700128e-5
-10.10101010101016,50000,0.117,-2.3631589577868817e-5
-10.10101010101016,60000,0.117,-1.9693654266961236e-5
-10.10101010101016,70000,0.117,-1.688068099839346e-5
-10.10101010101016,80000,0.117,-1.4770862264867901e-5
-10.10101010101016,90000,0.117,-1.3129839524186893e-5
-10.10101010101016,100000,0.117,-1.1816988183005472e-5
10.101010101010047,10000,0.117,1.1830131445904335e-4
10.101010101010047,20000,0.117,5.912076806467714e-5
10.101010101010047,30000,0.117,3.9407207814076695e-5
10.101010101010047,40000,0.117,2.955291740337762e-5
10.101010101010047,50000,0.117,2.3641139624164254e-5
10.101010101010047,60000,0.117,1.9700286243470866e-5
10.101010101010047,70000,0.117,1.6885553470916137e-5
10.101010101010047,80000,0.117,1.4774592751592985e-5
10.101010101010047,90000,0.117,1.3132787069242147e-5
10.101010101010047,100000,0.117,1.1819375694499534e-5
30.303030303030255,10000,0.117,3.5562310030394506e-4
30.303030303030255,20000,0.117,1.7754172989378758e-4
30.303030303030255,30000,0.117,1.1830131445904335e-4
