net_migration,N_compliers,cace_true,bias
-1000,10000,0.117,-0.010636363636363638
-1000,20000,0.117,-0.005571428571428574
-1000,30000,0.117,-0.0037741935483871086
-1000,40000,0.117,-0.0028536585365853684
-1000,50000,0.117,-0.0022941176470588354
-1000,60000,0.117,-0.0019180327868852515
-1000,70000,0.117,-0.0016478873239436503
-1000,80000,0.117,-0.0014444444444444565
-1000,90000,0.117,-0.0012857142857142928
-1000,100000,0.117,-0.0011584158415841594
-979.7979797979798,10000,0.117,-0.010440662373505077
-979.7979797979798,20000,0.117,-0.00546413095811267
-979.7979797979798,30000,0.117,-0.0037003586566677626
-979.7979797979798,40000,0.117,-0.002797387231944795
-979.7979797979798,50000,0.117,-0.00224866257182485
-979.7979797979798,60000,0.117,-0.0018799072386947169
-979.7979797979798,70000,0.117,-0.001615056211754659
-979.7979797979798,80000,0.117,-0.0014156168142696879
-979.7979797979798,90000,0.117,-0.0012600199844565452
-979.7979797979798,100000,0.117,-0.001135240572171653
-959.5959595959596,10000,0.117,-0.010244239631336416
-959.5959595959596,20000,0.117,-0.005356626506024115
-959.5959595959596,30000,0.117,-0.0036264274061990343
-959.5959595959596,40000,0.117,-0.002741060419235511
-959.5959595959596,50000,0.117,-0.0022031714568880034
-959.5959595959596,60000,0.117,-0.0018417564208782072
-959.5959595959596,70000,0.117,-0.0015822064056939394
-959.5959595959596,80000,0.117,-0.0013867747972551442
-959.5959595959596,90000,0.117,-0.001234314269850087
-959.5959595959596,100000,0.117,-0.001112056028014008
-939.3939393939394,10000,0.117,-0.01004709141274239
-939.3939393939394,20000,0.117,-0.005248914616497832
-939.3939393939394,30000,0.117,-0.0035523996082272302
-939.3939393939394,40000,0.117,-0.0026846780162842337
-939.3939393939394,50000,0.117,-0.002157644259369429
-939.3939393939394,60000,0.117,-0.0018035803083043256
-939.3939393939394,70000,0.117,-0.0015493378897906834
-939.3939393939394,80000,0.117,-0.0013579183826282343
-939.3939393939394,90000,0.117,-0.001208597134288572
-939.3939393939394,100000,0.117,-0.0010888622035424844
-919.1919191919192,10000,0.117,-0.009849213691026829
-919.1919191919192,20000,0.117,-0.0051409946885562635
-919.1919191919192,30000,0.117,-0.003478275073505399
-919.1919191919192,40000,0.117,-0.002628239940755381
-919.1919191919192,50000,0.117,-0.002112080936322175
-919.1919191919192,60000,0.117,-0.0017653788758083405
-919.1919191919192,70000,0.117,-0.0015164506480558199
-919.1919191919192,80000,0.117,-0.0013290475596055423
-919.1919191919192,90000,0.117,-0.0011828685701588681
-919.1919191919192,100000,0.117,-0.0010656590931838739
-898.989898989899,10000,0.117,-0.009650602409638567
-898.989898989899,20000,0.117,-0.005032866118898013
-898.989898989899,30000,0.117,-0.0034040536122915965
-898.989898989899,40000,0.117,-0.002571746110150666
-898.989898989899,50000,0.117,-0.002066481444731108
-898.989898989899,60000,0.117,-0.001727152098192089
-898.989898989899,70000,0.117,-0.0014835446644821115
-898.989898989899,80000,0.117,-0.0013001623173929389
-898.989898989899,90000,0.117,-0.0011571285698410982
-898.989898989899,100000,0.117,-0.001042446691360499
-878.7878787878788,10000,0.117,-0.009451253481894156
-878.7878787878788,20000,0.117,-0.004924528301886805
-878.7878787878788,30000,0.117,-0.003329735034347414
-878.7878787878788,40000,0.117,-0.0025151964418087536
-878.7878787878788,50000,0.117,-0.0020208457415128167
-878.7878787878788,60000,0.117,-0.0016888999502240043
-878.7878787878788,70000,0.117,-0.0014506199230440164
-878.7878787878788,80000,0.117,-0.0012712626451854558
-878.7878787878788,90000,0.117,-0.0011313771257085714
-878.7878787878788,100000,0.117,-0.001019224992490242
-858.5858585858587,10000,0.117,-0.009251162790697681
-858.5858585858587,20000,0.117,-0.004815980629539959
-858.5858585858587,30000,0.117,-0.0032553191489361755
-858.5858585858587,40000,0.117,-0.0024585908529048267
-858.5858585858587,50000,0.117,-0.001975173783515402
-858.5858585858587,60000,0.117,-0.0016506224066390046
-858.5858585858587,70000,0.117,-0.0014176764076977988
-858.5858585858587,80000,0.117,-0.0012423485321674116
-858.5858585858587,90000,0.117,-0.001105614230127866
-858.5858585858587,100000,0.117,-9.959939909865018e-4
-838.3838383838383,10000,0.117,-0.009050326188257227
-838.3838383838383,20000,0.117,-0.004707222491517213
-838.3838383838383,30000,0.117,-0.0031808057648214927
-838.3838383838383,40000,0.117,-0.0024019292604501585
-838.3838383838383,50000,0.117,-0.0019294655275183814
-838.3838383838383,60000,0.117,-0.0016123194421384796
-838.3838383838383,70000,0.117,-0.0013847141023812931
-838.3838383838383,80000,0.117,-0.0012134199675122026
-838.3838383838383,90000,0.117,-0.0010798398754587046
-838.3838383838383,100000,0.117,-9.727536812581539e-4
-818.1818181818182,10000,0.117,-0.008848739495798327
-818.1818181818182,20000,0.117,-0.004598253275109182
-818.1818181818182,30000,0.117,-0.003106194690265504
-818.1818181818182,40000,0.117,-0.0023452115812917645
-818.1818181818182,50000,0.117,-0.001883720930232563
-818.1818181818182,60000,0.117,-0.0015739910313901373
-818.1818181818182,70000,0.117,-0.0013517329910141263
-818.1818181818182,80000,0.117,-0.00118447694038247
-818.1818181818182,90000,0.117,-0.0010540540540540655
-818.1818181818182,100000,0.117,-9.495040577096603e-4
-797.9797979797979,10000,0.117,-0.008646398503274103
-797.9797979797979,20000,0.117,-0.004489072365225846
-797.9797979797979,30000,0.117,-0.0030314857330272366
-797.9797979797979,40000,0.117,-0.002288437732111903
-797.9797979797979,50000,0.117,-0.001837939948299866
-797.9797979797979,60000,0.117,-0.001535637149028074
-797.9797979797979,70000,0.117,-0.0013187330574975092
-797.9797979797979,80000,0.117,-0.0011555194399300028
-797.9797979797979,90000,0.117,-0.0010282567582601126
-797.9797979797979,100000,0.117,-9.262451147409728e-4
-777.7777777777778,10000,0.117,-0.008443298969072172
-777.7777777777778,20000,0.117,-0.004379679144385029
-777.7777777777778,30000,0.117,-0.0029566787003610095
-777.7777777777778,40000,0.117,-0.002231607629427812
-777.7777777777778,50000,0.117,-0.0017921225382932365
-777.7777777777778,60000,0.117,-0.0014972577696526629
-777.7777777777778,70000,0.117,-0.001285714285714279
-777.7777777777778,80000,0.117,-0.001126547455295751
-777.7777777777778,90000,0.117,-0.0010024479804161684
-777.7777777777778,100000,0.117,-9.02976846747533e-4
-757.5757575757576,10000,0.117,-0.008239436619718321
-757.5757575757576,20000,0.117,-0.004270072992700727
-757.5757575757576,30000,0.117,-0.0028817733990147837
-757.5757575757576,40000,0.117,-0.0021747211895910973
-757.5757575757576,50000,0.117,-0.0017462686567164265
-757.5757575757576,60000,0.117,-0.0014588528678304291
-757.5757575757576,70000,0.117,-0.0012526766595289118
-757.5757575757576,80000,0.117,-0.001097560975609771
-757.5757575757576,90000,0.117,-9.76627712854769e-4
-757.5757575757576,100000,0.117,-8.796992481203136e-4
-737.3737373737374,10000,0.117,-0.008034807149576675
-737.3737373737374,20000,0.117,-0.004160253287871424
-737.3737373737374,30000,0.117,-0.0028067696352283983
-737.3737373737374,40000,0.117,-0.002117778328787512
-737.3737373737374,50000,0.117,-0.001700378260003993
-737.3737373737374,60000,0.117,-0.0014204224180941333
