up_label,down_label,state,cace,se,down_primary,upyear_char,upyear,weights,bandwidth
presprimary00,00,AR,-0.44977680242978413,1.6389236174417225,general,00,2000,0.37229103030143645,60
presprimary00,00,CO,3.9722951537992723,5.95668479178211,general,00,2000,0.028183229778130696,60
presprimary00,00,CT,0.8930560616766576,1.1030463401987303,general,00,2000,0.8218877055399804,60
presprimary00,00,FL,-0.3702005740506165,1.2394180456029207,general,00,2000,0.6509750893056592,60
presprimary00,00,IL,0.8536131736521269,0.37579761126716804,general,00,2000,7.080957203727562,60
presprimary00,00,MI,2.639996085973293,1.0464089749929057,general,00,2000,0.913265576433772,60
presprimary00,00,MO,0.543729715332875,1.0807819345055496,general,00,2000,0.8560987175990147,60
presprimary00,00,MT,-1.996668953512568,4.19677266775336,general,00,2000,0.056776564516382626,60
presprimary00,00,NV,1.4929410277590107,1.1141366653889913,general,00,2000,0.8056066944445273,60
presprimary00,02,AR,0.34840349579542224,1.3338460782576282,general,00,2000,0.5620676208988219,60
presprimary00,02,CO,-0.5635802633289072,3.8843165742983956,general,00,2000,0.06627820898197362,60
presprimary00,02,CT,0.9865516175744797,0.8797830145212636,general,00,2000,1.2919593637294806,60
presprimary00,02,FL,-0.2898277369386389,1.1544784850731873,general,00,2000,0.750288538934103,60
presprimary00,02,IL,0.19398973827842314,0.27924579257590254,general,00,2000,12.82409490731361,60
presprimary00,02,MI,1.5521012569001904,0.6845848486390966,general,00,2000,2.1337593341796337,60
presprimary00,02,MO,-0.26144202118378956,0.8201393715878458,general,00,2000,1.4867045745731156,60
presprimary00,02,MT,-2.4701989646782305,2.391121924857952,general,00,2000,0.17490271728635673,60
presprimary00,02,NV,-0.7542772212363354,1.2041937737146506,general,00,2000,0.6896158668523381,60
presprimary00,04,AR,2.5411814452053747,2.717252892431545,general,00,2000,0.13543779685549537,60
presprimary00,04,CO,2.1654711106569025,9.845187098744452,general,00,2000,0.01031696725550601,60
presprimary00,04,CT,0.4604204424603801,2.079102237371263,general,00,2000,0.23133870943450865,60
presprimary00,04,FL,-0.2768560175080826,1.9328402967431146,general,00,2000,0.2676751515220103,60
presprimary00,04,IL,-0.14819253531729543,0.4822625433983493,general,00,2000,4.2996483262181755,60
presprimary00,04,MO,4.618243465681145e-4,1.7437208252257717,general,00,2000,0.3288865334647421,60
presprimary00,04,MT,1.2992256987378488,3.382152714611704,general,00,2000,0.08742055777595933,60
presprimary00,04,NV,-2.3607262765317873,2.102910800378759,general,00,2000,0.22613005948091564,60
presprimary00,06,AR,1.5097270548136759,1.6101473316302624,general,00,2000,0.3857169879482447,60
presprimary00,06,CO,-8.121258917938786,6.4048191991640895,general,00,2000,0.024377336415561713,60
presprimary00,06,CT,1.1863642774842502,1.4599751467282052,general,00,2000,0.46914714132442625,60
presprimary00,06,FL,1.220761831299985,1.700982470986671,general,00,2000,0.3456211602068085,60
presprimary00,06,IL,-0.17700865095849494,0.35676442412516046,general,00,2000,7.856641168319081,60
presprimary00,06,MO,-1.0638353243922154,1.599340891130953,general,00,2000,0.39094702947550286,60
presprimary00,06,MT,5.08200562868496,3.9135500872117217,general,00,2000,0.06529173466589992,60
presprimary00,06,NV,-0.3945621792530592,1.138951314785286,general,00,2000,0.7708851495720582,60
presprimary00,08,AR,7.522904601851749,6.632185014636925,general,00,2000,0.02273456945534958,60
presprimary00,08,CO,7.47491732930172,12.314981252817645,general,00,2000,0.0065937501963124765,60
presprimary00,08,CT,0.6056639468057009,2.7794591275330287,general,00,2000,0.12944325222182343,60
presprimary00,08,FL,-0.575629246530078,2.349629206314693,general,00,2000,0.18113456655454666,60
presprimary00,08,IL,-0.12937678666112912,0.7673652774939229,general,00,2000,1.6982268855956633,60
presprimary00,08,MO,1.529348422675864,2.213085083428119,general,00,2000,0.20417557064580782,60
presprimary00,08,MT,1.9499830418267314,6.450593472021133,general,00,2000,0.024032594268683715,60
presprimary00,08,NV,-2.994059173954897,2.6467820557440804,general,00,2000,0.14274589790764672,60
presprimary00,10,AR,4.661644617480114,4.034585479776274,general,00,2000,0.06143306133181029,60
presprimary00,10,CT,0.4946556498320391,1.7762825791013335,general,00,2000,0.31693914867877365,60
presprimary00,10,FL,0.6258632480368501,1.4139180270954212,general,00,2000,0.5002090405230051,60
presprimary00,10,IL,0.24262012976246036,0.46371997012617117,general,00,2000,4.650379565253161,60
presprimary00,10,MO,0.06643281703893845,1.4281545844384966,general,00,2000,0.4902860802825328,60
presprimary00,10,MT,3.669876764133287,5.273076064289897,general,00,2000,0.03596432617666306,60
presprimary00,10,NV,-2.8128424228019084,1.9101544586793529,general,00,2000,0.27407096372905604,60
presprimary00,12,AR,6.4130675213103,4.522260190007464,general,00,2000,0.048897753619713935,60
presprimary00,12,CT,-1.6441092649291253,2.5906226987906096,general,00,2000,0.14900185221879822,60
presprimary00,12,FL,2.705475116517968,2.8634566742731464,general,00,2000,0.12196037954819042,60
presprimary00,12,IL,0.6540301626215618,0.8798792575712787,general,00,2000,1.291676744703768,60
presprimary00,12,MO,0.17005420079604808,2.5355013142128056,general,00,2000,0.15555082542563148,60
presprimary00,12,MT,4.70775498707787,6.822889686793946,general,00,2000,0.02148143554833861,60
presprimary00,12,NV,-2.4409749204290154,2.7426501453537484,general,00,2000,0.1329410717382966,60
presprimary00,presprimary04,AR,1.3973194166951934,0.9733348320757864,primary,00,2000,1.055541879760977,60
presprimary00,presprimary04,CT,0.3516843230871342,0.2916753936600875,primary,00,2000,11.754398620742556,60
presprimary00,presprimary04,FL,-0.40132538679995144,0.2930624233302896,primary,00,2000,11.643397573800108,60
presprimary00,presprimary04,IL,0.3523173583503265,0.19329473967878738,primary,00,2000,26.76454898493306,60
presprimary00,presprimary04,MO,0.1577624431906649,0.30263064090369207,primary,00,2000,10.918782243868728,60
presprimary00,presprimary04,MT,0.2602238206476175,1.1193434784983005,primary,00,2000,0.7981292980320347,60
presprimary00,presprimary04,NV,0.612957032309679,0.7202224088875299,primary,00,2000,1.9278211490677044,60
presprimary00,presprimary08,AR,0.9628359556492353,0.907388269434964,primary,00,2000,1.2145451918338896,60
presprimary00,presprimary08,FL,-0.16666398425943652,1.1161021272332232,primary,00,2000,0.8027718373067707,60
presprimary00,presprimary08,IL,0.44965021170023395,0.3608298412937938,primary,00,2000,7.680599246904472,60
presprimary00,presprimary08,MI,0.72657027351198,0.5005450601745574,primary,00,2000,3.9912932768564677,60
presprimary00,presprimary08,MO,-0.1388761969398253,1.034908639282553,primary,00,2000,0.9336755264555546,60
presprimary00,presprimary08,MT,-0.9839802872299201,2.8272353043013996,primary,00,2000,0.1251054096601727,60
presprimary00,presprimary08,NV,0.11709568067147136,0.4815174886371507,primary,00,2000,4.312964361082841,60
presprimary00,presprimary12,AR,2.870221110024277,2.9209824060505163,primary,00,2000,0.11720391473162198,60
presprimary00,presprimary12,CT,0.5682206335082972,0.2839641164623405,primary,00,2000,12.4014673287894,60
presprimary00,presprimary12,FL,0.935557143054285,0.7038494204096973,primary,00,2000,2.018554526518157,60
presprimary00,presprimary12,IL,0.1769234073477297,0.24750749399687538,primary,00,2000,16.323876260786346,60
presprimary00,presprimary12,MI,0.5780217030659945,0.3523099372982722,primary,00,2000,8.056570536513101,60
presprimary00,presprimary12,MO,-0.5043876125223539,0.31421779798825983,primary,00,2000,10.128343884913114,60
presprimary00,presprimary12,MT,-1.7789078836093448,3.2902100483634524,primary,00,2000,0.0923746383766384,60
presprimary00,presprimary12,NV,0.20874343196840497,0.6526614474913383,primary,00,2000,2.347599889354332,60
presprimary00,primary02,AR,1.029556854314974,1.6197731790363776,primary,00,2000,0.38114619901801056,60
presprimary00,primary02,CO,0.5345112663607864,1.4469766179204993,primary,00,2000,0.4776139174071476,60
presprimary00,primary02,CT,0.04453477340967184,0.152373993641557,primary,00,2000,43.07033992311341,60
presprimary00,primary02,FL,-0.34582738584793826,0.6547671884003702,primary,00,2000,2.332524338443311,60
