arm,label,election,cace,se,type
treat1,Hawthorne,AUG2006,0.025391613226597658,0.0033410086340401905,first_stage
treat2,Civic Duty,AUG2006,0.018436671667667374,0.0033305757327012535,first_stage
treat3,Neighbors,AUG2006,0.08295561273794393,0.0034513829790311246,first_stage
treat4,Self,AUG2006,0.05000537385478253,0.003384425770933188,first_stage
treat1,Hawthorne,NOV2006,-0.01434501745088532,0.07727623361130322,iv
treat1,Hawthorne,JAN2008,0.11656157501323319,0.13035828965385926,iv
treat1,Hawthorne,AUG2008,0.1180964735309862,0.12734206114375551,iv
treat1,Hawthorne,NOV2008,-0.10880755169394024,0.07281884178481361,iv
treat1,Hawthorne,AUG2010,0.16584153659285997,0.13069801462936187,iv
treat1,Hawthorne,NOV2010,-0.17571815989252076,0.11473440333196055,iv
treat1,Hawthorne,FEB2012,0.11424911740458663,0.12960339468077606,iv
treat1,Hawthorne,AUG2012,0.06012000951699098,0.13093375190470474,iv
treat1,Hawthorne,NOV2012,-0.0014880994543610478,0.09410497118201902,iv
treat2,Civic Duty,NOV2006,0.04146326846566401,0.10462040866150515,iv
treat2,Civic Duty,JAN2008,0.2784806549633287,0.18004626452273886,iv
treat2,Civic Duty,AUG2008,-0.10539848162768424,0.18595568030366405,iv
treat2,Civic Duty,NOV2008,-0.07795462020530411,0.09782410596828515,iv
treat2,Civic Duty,AUG2010,0.06664319283723091,0.18276584952480993,iv
treat2,Civic Duty,NOV2010,-0.034789311747347236,0.1507386536454315,iv
treat2,Civic Duty,FEB2012,-0.02309057325188183,0.18117075161282076,iv
treat2,Civic Duty,AUG2012,-0.10486966400298034,0.187174908736725,iv
treat2,Civic Duty,NOV2012,-0.1734823486660741,0.13582505276572374,iv
treat3,Neighbors,NOV2006,0.12779080734400447,0.022441011184583692,iv
treat3,Neighbors,JAN2008,0.1461494660538734,0.03987566982696615,iv
treat3,Neighbors,AUG2008,0.12499906927714508,0.03902438435385354,iv
treat3,Neighbors,NOV2008,0.016696503968150568,0.021043486574309243,iv
treat3,Neighbors,AUG2010,0.12249777679767088,0.040426930555475665,iv
treat3,Neighbors,NOV2010,0.046699327599283975,0.03307428609879803,iv
treat3,Neighbors,FEB2012,0.07214988568444526,0.039805374274341526,iv
treat3,Neighbors,AUG2012,0.0605437897499947,0.04006604806370203,iv
treat3,Neighbors,NOV2012,-0.001850257097485458,0.028714481509556463,iv
treat4,Self,NOV2006,0.0503507143330594,0.03838481653771117,iv
treat4,Self,JAN2008,0.13250432865997083,0.06623539048765134,iv
treat4,Self,AUG2008,0.16912350059063785,0.06433554959485208,iv
treat4,Self,NOV2008,-0.009574346734756514,0.03549736786415496,iv
treat4,Self,AUG2010,0.1340491543789412,0.06646354685682355,iv
treat4,Self,NOV2010,0.05205303996126237,0.05484912702928954,iv
treat4,Self,FEB2012,0.072530791907204,0.0657940953289191,iv
treat4,Self,AUG2012,0.1854945680963939,0.06531193627321896,iv
treat4,Self,NOV2012,0.05542632459875548,0.04734809466308253,iv
overid,All Instruments,NOV2006,0.10795397195625349,0.020641181086490976,overid
overid,All Instruments,JAN2008,0.14208352815488293,0.03637486447993416,overid
overid,All Instruments,AUG2008,0.1353342626715493,0.03550603991750527,overid
overid,All Instruments,NOV2008,0.008536128377943914,0.01926092787219872,overid
overid,All Instruments,AUG2010,0.1261477694899838,0.03679247222274833,overid
overid,All Instruments,NOV2010,0.04342063959950105,0.030176827730659217,overid
overid,All Instruments,FEB2012,0.07343394099115032,0.036276521076113594,overid
overid,All Instruments,AUG2012,0.08865163540592594,0.0363391235977485,overid
overid,All Instruments,NOV2012,0.011353909466191666,0.026152415678518375,overid
