model,n,r_squared,has_state_fe
1,384,0.08510292430182871,FALSE
2,384,0.10130183411909079,FALSE
3,384,0.09976478897225576,FALSE
4,384,0.26301464564393257,TRUE
5,384,0.3086044074762707,TRUE
