upstream_type,bandwidth,downstream_type,estimate,std_error,n
general,365,general,0.10081230098832761,0.006837107795706048,384
general,365,primary,0.019910475329328724,0.0035851811532562334,335
primary,60,general,0.00859837013229379,0.023624130013549585,329
primary,60,primary,0.0068200069764923045,0.009949484759404112,252
