years_window,upstream_year,downstream_year,state,fe_cace,fe_se,re_cace,re_se
00-02,00,02,meta,0.1274134424102518,0.006387300202786616,0.12880099494779096,0.008822717063057902
00-04,00,04,meta,0.1813930787142208,0.015857436542270478,0.1976613232840887,0.027408952462833182
02-04,02,04,meta,0.2000945784456808,0.029275423368004448,0.2169742365625236,0.041362438856874684
02-06,02,06,meta,0.2323764841255841,0.01909802562846161,0.22942603214541302,0.022274388220383114
04-06,04,06,meta,0.10949195135138978,0.0030728203457784714,0.14009074967674984,0.015980159496323865
04-08,04,08,meta,0.11652841637123154,0.0069080017592960926,0.12249762959170205,0.012488643653303792
06-08,06,08,meta,0.1662543357627795,0.017900670465460997,0.20002370367429206,0.029628119498320594
06-10,06,10,meta,0.11921405256261541,0.009330401826795036,0.14097471314208088,0.020879439165191076
08-10,08,10,meta,0.09044929468301167,0.002089092926370598,0.09741396463193991,0.007728757286383049
08-12,08,12,meta,0.11723830388583333,0.004686603580100825,0.12228748332098432,0.010283629188311477
10-12,10,12,meta,0.1105198030328513,0.019156041829626567,0.10952119073658842,0.025261957745063214
92-94,92,94,meta,0.14705724801120024,0.012672767142755855,0.15892249122287294,0.02516335986317848
92-96,92,96,meta,0.2099476259720503,0.023029593687387176,0.21181231984716997,0.043210772813324416
94-96,94,96,meta,0.06794743069304557,0.046333833047237566,0.06768609910369713,0.04673511485785888
94-98,94,98,meta,0.07473795084584259,0.03668056238525614,0.07473604734909113,0.03669249323919973
96-00,96,00,meta,0.18929219796557223,0.022062636046178634,0.18929219796557223,0.022062636046178634
96-98,96,98,meta,0.1382344640603841,0.011399701227477941,0.17111052626695297,0.06097603808965662
98-00,98,00,meta,0.22565073184125714,0.03595733220908975,0.3367711852132042,0.1279533329844271
98-02,98,02,meta,0.2132354428355307,0.026239488711233393,0.2562025349931405,0.05212509122629822
