hhsize,election,cace,se,type,fe_cace,fe_se,re_cace,re_se,n
1,APR2009,0.04879923458578843,0.007567044935543613,first_stage,NA,NA,NA,NA,16638
2,APR2009,0.0348645686955925,0.008868725791342652,first_stage,NA,NA,NA,NA,16915
3,APR2009,0.04356343227667327,0.017783142119780902,first_stage,NA,NA,NA,NA,5086
1,aec_voted_2010p,0.4778452532532807,0.16485604461020803,iv,NA,NA,NA,NA,16638
1,aec_voted_2010g,0.39858191883128,0.17694704031019468,iv,NA,NA,NA,NA,16638
1,aec_voted_2011cp,0.3055006203676601,0.2197758874317308,iv,NA,NA,NA,NA,16638
1,aec_voted_2011ce,0.462124061212154,0.18255537847711187,iv,NA,NA,NA,NA,16638
1,aec_voted_2012p,0.44601620793260627,0.1497020593789843,iv,NA,NA,NA,NA,16638
1,aec_voted_2012g,0.2361583888113791,0.16291655412677325,iv,NA,NA,NA,NA,16638
2,aec_voted_2010p,-0.3658636547663797,0.32169360317869994,iv,NA,NA,NA,NA,16915
2,aec_voted_2010g,0.06018766232549476,0.2626245171783815,iv,NA,NA,NA,NA,16915
2,aec_voted_2011cp,0.30077662776344083,0.32831483953938034,iv,NA,NA,NA,NA,16915
2,aec_voted_2011ce,0.4631845940502129,0.2764623211092895,iv,NA,NA,NA,NA,16915
2,aec_voted_2012p,0.04272959448099195,0.2574280585034008,iv,NA,NA,NA,NA,16915
2,aec_voted_2012g,0.23064498370573813,0.23263212811576012,iv,NA,NA,NA,NA,16915
3,aec_voted_2010p,0.3090417645395877,0.4221373988645944,iv,NA,NA,NA,NA,5086
3,aec_voted_2010g,0.3890413807913327,0.4367880458703055,iv,NA,NA,NA,NA,5086
3,aec_voted_2011cp,0.1491287350479591,0.486622854633619,iv,NA,NA,NA,NA,5086
3,aec_voted_2011ce,-0.22338157804219733,0.4931824943322234,iv,NA,NA,NA,NA,5086
3,aec_voted_2012p,-0.06335716830034581,0.4372346725495111,iv,NA,NA,NA,NA,5086
3,aec_voted_2012g,0.142474071120062,0.4094782439161174,iv,NA,NA,NA,NA,5086
0,aec_voted_2010p,0.3030783596666664,0.1385819832404216,meta_fe,0.3030783596666664,0.1385819832404216,0.1764886435444058,0.27313810379772335,38639
0,aec_voted_2010g,0.3026760300247407,0.13910551605201002,meta_fe,0.3026760300247407,0.13910551605201002,0.3026760300247407,0.13910551605201002,38639
0,aec_voted_2011cp,0.2849128199690826,0.17098764054966165,meta_fe,0.2849128199690826,0.17098764054966165,0.2849128199690826,0.17098764054966165,38639
0,aec_voted_2011ce,0.4027085803184092,0.14555383983971892,meta_fe,0.4027085803184092,0.14555383983971892,0.4027071403015668,0.14555598138013295,38639
0,aec_voted_2012p,0.31128084863933236,0.12408979787413729,meta_fe,0.31128084863933236,0.12408979787413729,0.25219164587757664,0.17453458211817144,38639
0,aec_voted_2012g,0.22552370758727144,0.12687876540751075,meta_fe,0.22552370758727144,0.12687876540751075,0.22552370758727144,0.12687876540751075,38639
0,aec_voted_2010p,0.1764886435444058,0.27313810379772335,meta_re,0.3030783596666664,0.1385819832404216,0.1764886435444058,0.27313810379772335,38639
0,aec_voted_2010g,0.3026760300247407,0.13910551605201002,meta_re,0.3026760300247407,0.13910551605201002,0.3026760300247407,0.13910551605201002,38639
0,aec_voted_2011cp,0.2849128199690826,0.17098764054966165,meta_re,0.2849128199690826,0.17098764054966165,0.2849128199690826,0.17098764054966165,38639
0,aec_voted_2011ce,0.4027071403015668,0.14555598138013295,meta_re,0.4027085803184092,0.14555383983971892,0.4027071403015668,0.14555598138013295,38639
0,aec_voted_2012p,0.25219164587757664,0.17453458211817144,meta_re,0.31128084863933236,0.12408979787413729,0.25219164587757664,0.17453458211817144,38639
0,aec_voted_2012g,0.22552370758727144,0.12687876540751075,meta_re,0.22552370758727144,0.12687876540751075,0.22552370758727144,0.12687876540751075,38639
0,APR2009,0.04298882970519386,0.005476664444381756,first_stage_meta,NA,NA,0.04288879283285498,0.005783904572227756,38639
