years_window,upstream_year,state,cace,se,type,fe_cace,fe_se,re_cace,re_se
08-12,08,MT,0.11135453293398077,0.029124947557456593,state,NA,NA,NA,NA
08-12,08,NJ,0.15478506132150377,0.013747216716300793,state,NA,NA,NA,NA
08-12,08,NV,0.17409599254912547,0.02661113046220379,state,NA,NA,NA,NA
08-12,08,NY,0.0680079671231753,0.012710814206265008,state,NA,NA,NA,NA
08-12,08,OK,0.13754909160643755,0.023174141860235545,state,NA,NA,NA,NA
08-12,08,OR,0.10769600602535441,0.02484223400318444,state,NA,NA,NA,NA
08-12,08,PA,0.12067562659577158,0.019288527472483323,state,NA,NA,NA,NA
08-12,08,RI,0.1130818089526145,0.030049309146931574,state,NA,NA,NA,NA
10-12,10,AR,0.1996556544615103,0.12313103566879215,state,NA,NA,NA,NA
10-12,10,CO,NA,NA,state,NA,NA,NA,NA
10-12,10,CT,0.09739084416609074,0.06257385526578661,state,NA,NA,NA,NA
10-12,10,FL,0.013564165474103015,0.06170069635262178,state,NA,NA,NA,NA
10-12,10,FL05,NA,NA,state,NA,NA,NA,NA
10-12,10,IA,0.08577306314148078,0.06640013060346238,state,NA,NA,NA,NA
10-12,10,IL,0.04131400174189868,0.05865421169106682,state,NA,NA,NA,NA
10-12,10,KY,0.23520015990583296,0.05164369006533422,state,NA,NA,NA,NA
10-12,10,MI,NA,NA,state,NA,NA,NA,NA
10-12,10,MO,0.025480449848869154,0.06866584891171112,state,NA,NA,NA,NA
10-12,10,MO05,NA,NA,state,NA,NA,NA,NA
10-12,10,MT,0.16525066555879395,0.09100494476042655,state,NA,NA,NA,NA
10-12,10,NJ,-0.13823890451436252,0.11824959829304268,state,NA,NA,NA,NA
10-12,10,NV,0.287469351545881,0.08800188418999615,state,NA,NA,NA,NA
10-12,10,NY,0.03642787150898044,0.09634339910536334,state,NA,NA,NA,NA
10-12,10,OK,0.14910656544003104,0.08961008175960064,state,NA,NA,NA,NA
10-12,10,OR,0.11771234874588034,0.05348598275360194,state,NA,NA,NA,NA
10-12,10,PA,0.10447847104556493,0.12838122756727235,state,NA,NA,NA,NA
10-12,10,RI,0.2387125624298623,0.11727640780730623,state,NA,NA,NA,NA
92-12,92,AR,NA,NA,state,NA,NA,NA,NA
92-12,92,CO,NA,NA,state,NA,NA,NA,NA
92-12,92,CT,NA,NA,state,NA,NA,NA,NA
92-12,92,FL,0.6883910757923171,0.16451859855046846,state,NA,NA,NA,NA
92-12,92,FL05,NA,NA,state,NA,NA,NA,NA
92-12,92,IA,NA,NA,state,NA,NA,NA,NA
92-12,92,IL,0.5357810404932037,0.10701242886408807,state,NA,NA,NA,NA
92-12,92,KY,NA,NA,state,NA,NA,NA,NA
92-12,92,MI,NA,NA,state,NA,NA,NA,NA
92-12,92,MO,0.8570798971219814,0.17666922511623737,state,NA,NA,NA,NA
92-12,92,MO05,NA,NA,state,NA,NA,NA,NA
92-12,92,MT,NA,NA,state,NA,NA,NA,NA
92-12,92,NJ,NA,NA,state,NA,NA,NA,NA
92-12,92,NV,NA,NA,state,NA,NA,NA,NA
92-12,92,NY,NA,NA,state,NA,NA,NA,NA
92-12,92,OK,NA,NA,state,NA,NA,NA,NA
92-12,92,OR,NA,NA,state,NA,NA,NA,NA
92-12,92,PA,NA,NA,state,NA,NA,NA,NA
92-12,92,RI,NA,NA,state,NA,NA,NA,NA
94-12,94,AR,NA,NA,state,NA,NA,NA,NA
94-12,94,CO,NA,NA,state,NA,NA,NA,NA
