up_label,down_label,state,cace,se,up_primary,down_primary,upyear_char,downyear_char,upyear,downyear,weights
00,02,AR,0.1333251256680874,0.0489082329621932,general,general,00,02,2000,2002,418.05753511794506
00,02,CO,0.0862288598900767,0.02366013641163925,general,general,00,02,2000,2002,1786.345711019153
00,02,CT,0.11726661699577923,0.026163708422329734,general,general,00,02,2000,2002,1460.8357849439453
00,02,FL,0.1639053870809753,0.01738184439323901,general,general,00,02,2000,2002,3309.849788985535
00,02,FL05,0.06256083891693165,0.01822232634048379,general,general,00,02,2000,2002,3011.5658228432953
00,02,IL,0.12031035956309871,0.014316326899354668,general,general,00,02,2000,2002,4879.067056320031
00,02,MI,0.12881505758002015,0.01217387256514868,general,general,00,02,2000,2002,6747.4938504275115
00,02,MO,0.10965068773719115,0.0150762722735959,general,general,00,02,2000,2002,4399.58847596803
00,02,MO05,0.10171984110213865,0.012785078723336452,general,general,00,02,2000,2002,6117.770584514824
00,02,MT,0.13783273413175906,0.053426444135544836,general,general,00,02,2000,2002,350.33817213995155
00,02,NV,0.237696639387891,0.0510715637782503,general,general,00,02,2000,2002,383.3908009601481
00,02,OK,0.15646813595677778,0.03589151989548133,general,general,00,02,2000,2002,776.2762522527437
00,04,AR,0.23850457227105282,0.08949275678551508,general,general,00,04,2000,2004,124.86025769390048
00,04,CO,0.14314394938011807,0.05031410888075685,general,general,00,04,2000,2004,395.02122321695714
00,04,CT,0.28900468720022343,0.07413098763546298,general,general,00,04,2000,2004,181.97026502851188
00,04,FL,0.25002699878727874,0.03759294408679637,general,general,00,04,2000,2004,707.5991824668233
00,04,FL05,-0.07035245511666581,0.0699919033658856,general,general,00,04,2000,2004,204.12885153989185
00,04,IL,0.12540947264241167,0.029865569462998013,general,general,00,04,2000,2004,1121.1362625533413
00,04,MO,0.1681930999189745,0.03141880175968723,general,general,00,04,2000,2004,1013.0264011225747
00,04,MO05,0.11119759555190659,0.021753463614189505,general,general,00,04,2000,2004,2113.2124884206874
00,04,MT,0.2408688414276299,0.08385926921436444,general,general,00,04,2000,2004,142.1994291949416
00,04,NV,0.4071384641206963,0.09288565859558251,general,general,00,04,2000,2004,115.90513322044876
00,04,OK,0.0748476600265595,0.07557465937822372,general,general,00,04,2000,2004,175.0844608273231
00,06,AR,0.05994215741410959,0.06688505583120695,general,general,00,06,2000,2006,223.53308513036308
00,06,CO,0.08301689242447262,0.0362315956498036,general,general,00,06,2000,2006,761.7721274636726
00,06,CT,0.09810731184430048,0.04836135890355364,general,general,00,06,2000,2006,427.56584836373133
00,06,FL,0.20527429057024818,0.041458877410838646,general,general,00,06,2000,2006,581.7882195414292
00,06,IL,0.07350328617686189,0.019840999209472014,general,general,00,06,2000,2006,2540.229296182991
00,06,MO,0.10803215873865941,0.0251322549417598,general,general,00,06,2000,2006,1583.2047598638082
00,06,MT,0.315481909476102,0.08548597706538544,general,general,00,06,2000,2006,136.83910982233664
00,06,NV,0.19587749136669377,0.06740876316725625,general,general,00,06,2000,2006,220.07326296525352
00,06,OK,0.040191366151433504,0.05393822285857256,general,general,00,06,2000,2006,343.7215276494733
00,08,AR,0.1942700947349468,0.11108574215262464,general,general,00,08,2000,2008,81.03700061299571
00,08,CO,0.196488122427976,0.06881599496145294,general,general,00,08,2000,2008,211.1646481814001
00,08,CT,0.253007515579269,0.10026439589187057,general,general,00,08,2000,2008,99.47329800318663
00,08,FL,0.24707346938216804,0.053813007897764255,general,general,00,08,2000,2008,345.3229676024181
00,08,IL,0.25812938854595197,0.04245294257227328,general,general,00,08,2000,2008,554.8612598051659
00,08,MO,0.10611000826577305,0.03620754263806329,general,general,00,08,2000,2008,762.7845684432069
00,08,MT,0.3665030770245258,0.12059538896965484,general,general,00,08,2000,2008,68.76043171034593
00,08,NV,0.41929935083106,0.12930578212969773,general,general,00,08,2000,2008,59.80866505116669
00,08,OK,0.2349916375125401,0.10633329032819372,general,general,00,08,2000,2008,88.44259863672045
00,10,AR,0.09078402729676618,0.07693497128720585,general,general,00,10,2000,2010,168.94774828359814
00,10,CT,0.09668529877189462,0.06143922118150152,general,general,00,10,2000,2010,264.91624849285586
00,10,FL,0.09865383421963357,0.03197052562059615,general,general,00,10,2000,2010,978.3639618905565
00,10,IL,0.04788591989854751,0.02834308568536686,general,general,00,10,2000,2010,1244.8176588862307
00,10,MO,0.07591962082221512,0.02619346289898266,general,general,00,10,2000,2010,1457.5187957712574
00,10,MT,0.1759460999810791,0.08618719302497732,general,general,00,10,2000,2010,134.62153140687786
00,10,NV,0.31510352427798527,0.08860165474935684,general,general,00,10,2000,2010,127.38442588087123
00,10,OK,0.1548229533238956,0.07773463360465512,general,general,00,10,2000,2010,165.48966933998116
00,12,AR,0.21384247733837705,0.1223101635902574,general,general,00,12,2000,2012,66.845920162657535
00,12,CT,0.10566590376049244,0.09537691417928364,general,general,00,12,2000,2012,109.9293007928374
00,12,FL,0.17581444669735913,0.060623011709612595,general,general,00,12,2000,2012,272.09777091705075
00,12,IL,0.2542115777692356,0.0466128239025802,general,general,00,12,2000,2012,460.24509800420435
00,12,MO,0.11686120090762453,0.03901817595553374,general,general,00,12,2000,2012,656.8498033660416
00,12,MT,0.3434049127002029,0.12261345297355321,general,general,00,12,2000,2012,66.51563692618501
00,12,NV,0.45748333760234355,0.14328096054412168,general,general,00,12,2000,2012,48.71054978096902
00,12,OK,0.19486986700745923,0.10916344049262316,general,general,00,12,2000,2012,83.9161538175137
00,presprimary04,AR,0.04460660239958135,0.031800964709026276,general,primary,00,04,2000,2003.5,988.8249369459086
00,presprimary04,CT,-0.006933475838169729,0.009278729519519325,general,primary,00,04,2000,2003.5,11615.100451097658
00,presprimary04,FL,0.0051401889769756605,0.006035955258958842,general,primary,00,04,2000,2003.5,27447.827528336307
00,presprimary04,IL,0.04820797111574595,0.012191947463352178,general,primary,00,04,2000,2003.5,6727.501989387349
00,presprimary04,MO,0.010548186130519582,0.0057603620008544135,general,primary,00,04,2000,2003.5,30137.029716051413
00,presprimary04,MT,0.014077114619225974,0.02963329193646513,general,primary,00,04,2000,2003.5,1138.7809694424093
00,presprimary04,NV,0.12513879080077014,0.03078041514746857,general,primary,00,04,2000,2003.5,1055.4825410051012
00,presprimary08,AR,0.07141651795594288,0.031178969160225577,general,primary,00,08,2000,2007.5,1028.6709967468846
00,presprimary08,FL,0.05565716673563024,0.021839215823707663,general,primary,00,08,2000,2007.5,2096.6499091033006
00,presprimary08,IL,0.060318566365213634,0.021383758022555925,general,primary,00,08,2000,2007.5,2186.915170927952
