model,term,estimate,std_error,state_fe
1,(Intercept),0.22027563752910384,0.03581655491060071,FALSE
1,timedistance,8.978765019749789e-5,0.003574228724498732,FALSE
1,turnoutrate1829,-0.251990921849326,0.06351099514250481,FALSE
2,(Intercept),0.21712980559858824,0.03458491523838679,FALSE
2,timedistance,-6.293958892123397e-4,0.0036558667576022997,FALSE
2,turnoutrate1829,-0.24495010594646305,0.06130170092033825,FALSE
2,battleground_P,0.0321841681220265,0.014669238327184728,FALSE
3,(Intercept),0.21640449035459028,0.035394554537166986,FALSE
3,timedistance,2.1315769048495337e-4,0.0034283923482639534,FALSE
3,turnoutrate1829,-0.257817133960854,0.06690961429917913,FALSE
3,battleground_PM,0.015516624413080726,0.012503353329966788,FALSE
4,(Intercept),0.22066747909457915,0.03760118557269544,FALSE
4,timedistance,0.001425804754707961,0.0026743694306259037,FALSE
4,turnoutrate1829,-0.22609746152600435,0.06530574018411751,FALSE
4,state_cleanCO,0.014550238063576275,0.0314146357060498,TRUE
4,state_cleanCT,-0.009262396372360664,0.026803331110877758,TRUE
4,state_cleanFL,-0.020561798559725793,0.028557907805406978,TRUE
4,state_cleanIA,-0.021800707928511454,0.03427766913091493,TRUE
4,state_cleanIL,-0.007084427061464588,0.024903769442489395,TRUE
4,state_cleanKY,-0.0012944491765118813,0.03375782537123412,TRUE
4,state_cleanMI,0.03057884189011959,0.10217654656922265,TRUE
4,state_cleanMO,-0.01884808360809382,0.026874620421893404,TRUE
4,state_cleanMT,0.024658225678618743,0.029685800189547303,TRUE
4,state_cleanNJ,-0.022957798926808846,0.026573813302102782,TRUE
4,state_cleanNV,0.037554356347879604,0.028620722510012124,TRUE
4,state_cleanNY,-0.05681304127890544,0.02793359681027644,TRUE
4,state_cleanOK,-0.004348561655905969,0.0241279517964141,TRUE
4,state_cleanOR,0.022929698177991852,0.028074522892961588,TRUE
4,state_cleanPA,0.03626041745071602,0.03575290036103966,TRUE
4,state_cleanRI,-0.027548123746390183,0.04438208255996712,TRUE
5,(Intercept),0.21612284567289675,0.03340240695753498,FALSE
5,timedistance,-7.869520759881252e-4,0.0028077718170196058,FALSE
5,turnoutrate1829,-0.16474706728513597,0.07789738440153494,FALSE
5,state_cleanCO,0.007770904213708083,0.03127788863531971,TRUE
5,state_cleanCT,-0.01623416443035741,0.02203966391828889,TRUE
5,state_cleanFL,-0.026129093512469483,0.02608224340125985,TRUE
5,state_cleanIA,-0.03992709391895144,0.029569217587330342,TRUE
5,state_cleanIL,-0.012094354664151355,0.021813599175567515,TRUE
5,state_cleanKY,-0.012195593123137246,0.053697332069332714,TRUE
5,state_cleanMI,0.031052378800854458,0.09679886219426093,TRUE
5,state_cleanMO,-0.025001749089481745,0.023048102215358024,TRUE
5,state_cleanMT,0.014224148266620823,0.02573227557673225,TRUE
5,state_cleanNJ,-0.029364699612767657,0.023538368525595647,TRUE
5,state_cleanNV,0.032403185294539,0.025844507493623697,TRUE
5,state_cleanNY,-0.06025790672684079,0.023316766099156935,TRUE
5,state_cleanOK,-0.009582501684939253,0.020737187279345065,TRUE
5,state_cleanOR,0.00296374963673357,0.025959852013097827,TRUE
5,state_cleanPA,0.030076614904130723,0.03113521379787752,TRUE
5,state_cleanRI,-0.039076054407953295,0.024495721280795763,TRUE
5,upstream_typePres,-0.019306594688707074,0.020649182880007704,FALSE
5,downstream_typePres,0.03589468397291124,0.011899531497948444,FALSE
