bandwidth,order,lag,fe_cace,fe_se,re_cace,re_se
90,0,FALSE,0.13243082756687355,0.005554502407743119,0.1311319259001308,0.009242330043083143
90,0,TRUE,0.10829954135716036,0.004829580298053045,0.1113243194381224,0.009549480641861858
90,1,FALSE,0.06812983001159369,0.011577314236357657,0.0663553449127763,0.01671895207095192
90,1,TRUE,0.05765680149581746,0.009645969516906062,0.0617166454391733,0.016234655819546112
90,2,FALSE,-0.027382969831046714,0.01916321721028911,-0.034593410754336494,0.02306900796522427
90,2,TRUE,0.015766906821421484,0.015221259434925694,0.009607990212499704,0.02112773415068093
90,3,FALSE,-0.06293548301995222,0.032148628735686934,-0.06293548301995222,0.032148628735686934
90,3,TRUE,0.012010589056064747,0.022374815212016744,0.011832931748204422,0.022621247580417368
180,0,FALSE,0.13178561790691593,0.004026300709984681,0.1266938788567588,0.009269413534537524
180,0,TRUE,0.11839453846193616,0.0034326327678261314,0.1159290920769291,0.00952213474636792
180,1,FALSE,0.12208502688683094,0.007795201312550254,0.122718823167354,0.012091760932269664
180,1,TRUE,0.08898092941902042,0.006676828999821484,0.09571457923892573,0.012058415584009644
180,2,FALSE,0.05713708258713427,0.012583879378375946,0.0550519205797999,0.016370351129917988
180,2,TRUE,0.05533333788009421,0.010458484526101793,0.05722123181926712,0.014756961532295824
180,3,FALSE,-0.016470883048483553,0.021006378279413887,-0.020936602659398593,0.02603144080115159
180,3,TRUE,0.03542548654003603,0.015411010113221435,0.025239061411944583,0.024309742706553623
270,0,FALSE,0.12470602544846965,0.003349449568656757,0.11701456070233984,0.01076233292284554
270,0,TRUE,0.1236218685626783,0.0028233377840261417,0.11820434659767455,0.010839988268815522
270,1,FALSE,0.13669937341864494,0.006270581271696058,0.13572516725605172,0.009241239355381731
270,1,TRUE,0.10138825119645682,0.005433308288030308,0.10565768337123015,0.010187046921910244
270,2,FALSE,0.0979019312374325,0.0098377545969149955,0.09861943102767252,0.014779185263474017
270,2,TRUE,0.07378758820395756,0.008331044915125185,0.07949394423387426,0.01419982169910258
270,3,FALSE,0.04420081388890025,0.015421627104178343,0.04511429503431011,0.02073660996433041
270,3,TRUE,0.04959710270751422,0.01244493545382973,0.05302741242776575,0.017749472331255744
365,0,FALSE,0.11043373966283775,0.0030270567658038225,0.09819288899704406,0.012043774664982758
365,0,TRUE,0.11911111573427359,0.0025213888643510415,0.10779719123889013,0.01180322201419333
365,1,FALSE,0.14787902940497805,0.005434385802665165,0.14698322709418693,0.009241084413093193
365,1,TRUE,0.11723830388583333,0.004686603580100825,0.12228748332098432,0.010283629188311477
365,2,FALSE,0.12333556298063751,0.00844991563501545,0.12396469916901794,0.01127507488070689
365,2,TRUE,0.0825145895538347,0.007477776746932647,0.08837512278662739,0.012432154961363618
365,3,FALSE,0.06276090537450357,0.013378074277562197,0.056147291195871404,0.018970425971265
365,3,TRUE,0.055943052759972495,0.010349792362953553,0.05802749993007721,0.01618134426051481
455,0,FALSE,0.12449783255238955,0.0027144145768144903,0.10966297202813824,0.012996030089802591
455,0,TRUE,0.11782943367278101,0.0023045577286986575,0.10686663943266703,0.011724901211739672
455,1,FALSE,0.11518719782548287,0.005057943547631807,0.1134233908250026,0.00991774646663233
455,1,TRUE,0.11836245176867433,0.0041834278851560465,0.1184475160454576,0.010767156249370725
455,2,FALSE,0.15525088263651957,0.0067547270140338326,0.15496275340790897,0.009919668806834786
455,2,TRUE,0.10174015138617813,0.0063476379216011476,0.1087093926407958,0.011658655744375778
455,3,FALSE,0.07270393931515991,0.01244688900026838,0.07308432140916307,0.015163617332313807
455,3,TRUE,0.06034978719066025,0.010274613355403427,0.061128041472954926,0.015335383273604355
545,0,FALSE,0.13060394470477646,0.002483339647511941,0.11302888617304993,0.013777153915129958
545,0,TRUE,0.11655993305874295,0.0021383072657597036,0.10430692272401387,0.011278655532224765
545,1,FALSE,0.110926782347035,0.00463427393551588,0.10861755190035548,0.010756288329380144
545,1,TRUE,0.12107182739121101,0.003811528266958339,0.1192939669316602,0.011874323086690206
545,2,FALSE,0.14409036364093245,0.006662000892387163,0.1434626748905652,0.009893959083070177
545,2,TRUE,0.10367880651455254,0.006060488678051811,0.10820455128382263,0.011167198955281595
545,3,FALSE,0.12566531451948912,0.008687683591371707,0.13047105665561282,0.014924845632184124
545,3,TRUE,0.08617343071893269,0.008577494502637416,0.09566092256125817,0.014858799471859528
635,0,FALSE,0.12622245692116774,0.002321680749759275,0.10438260228245046,0.015413166637139266
635,0,TRUE,0.10989504841590844,0.0020177251993246798,0.09443894972745888,0.012014579206496514
635,1,FALSE,0.12489922792012417,0.0042442094744343205,0.12299215336245731,0.010093921318833665
635,1,TRUE,0.12991463848759968,0.0035172463678049652,0.12921190109545713,0.011207805859321579
635,2,FALSE,0.11821576040694994,0.006623906826917128,0.11604492824828885,0.011309813834410822
