bandwidth,order,lag,fe_cace,fe_se,re_cace,re_se
90,0,FALSE,0.1206921943063794,0.010016562710816176,0.12987820873178624,0.019644095076444806
90,0,TRUE,0.09727041310564517,0.009949199295256679,0.11046908242887145,0.018393689882512092
90,1,FALSE,0.07274574035823858,0.023638926801040787,0.07274574035823858,0.023638926801040787
90,1,TRUE,0.06123446625820299,0.022986495630742943,0.06123446625820299,0.022986495630742943
90,2,FALSE,-0.024877896868368,0.04652942311329761,-0.024877896868368,0.04652942311329761
90,2,TRUE,-0.006608430774260473,0.04438448115662724,-0.006608430774260473,0.04438448115662724
90,3,FALSE,-0.019576057424934526,0.07071295446842202,-0.019576057424934526,0.07071295446842202
90,3,TRUE,0.0011334329406537636,0.06532749021180904,0.0011334329406537636,0.06532749021180904
180,0,FALSE,0.11576752843317688,0.007069768633187597,0.14340212701353786,0.02462628024762134
180,0,TRUE,0.09217044188951683,0.006861871718814577,0.12384750313028114,0.022242895455671482
180,1,FALSE,0.11116707477600862,0.014478072074308816,0.11299767750094547,0.016771513043849162
180,1,TRUE,0.0896796069144557,0.014038128427317855,0.09189768438573562,0.015740662492256554
180,2,FALSE,0.043445613050228926,0.02756434436836052,0.043445613050228926,0.02756434436836052
180,2,TRUE,0.0379293379463456,0.02635706289100394,0.0379293379463456,0.02635706289100394
180,3,FALSE,0.026760630956877605,0.0404380347894079,0.026760630956877605,0.0404380347894079
180,3,TRUE,0.032105574426733154,0.03836607709048038,0.032105574426733154,0.03836607709048038
270,0,FALSE,0.09523051638320407,0.005916585278962369,0.11670713058934917,0.026235540476550665
270,0,TRUE,0.07855582811732505,0.00562467769720381,0.10582028784177841,0.024226274382400357
270,1,FALSE,0.1401432552111222,0.011255678372901744,0.15429399098750346,0.02160806367689031
270,1,TRUE,0.11200827587483207,0.011004296303981762,0.12887955494919492,0.019900259390735666
270,2,FALSE,0.05987277014961048,0.019549173708327986,0.05987277014961048,0.019549173708327986
270,2,TRUE,0.04554530501239697,0.018777751390864343,0.04554530501239697,0.018777751390864343
270,3,FALSE,0.08069769342511195,0.03394408090908474,0.08069769342511195,0.03394408090908474
270,3,TRUE,0.07711015604258753,0.03158252711249882,0.07711015604258753,0.03158252711249882
365,0,FALSE,0.07121636200743031,0.00515325512328138,0.08405994623534567,0.028525985658357206
365,0,TRUE,0.05996061566136251,0.0048395866660899955,0.07894190538627954,0.026063884964930506
365,1,FALSE,0.14720576941647304,0.009626394803173675,0.16619610992883738,0.02309915563840304
365,1,TRUE,0.11921405256261541,0.009330401826795036,0.14097471314208088,0.020879439165191076
365,2,FALSE,0.11152737975080176,0.015343046778818344,0.11657248492551676,0.019251618283316334
365,2,TRUE,0.08644337019387334,0.014960168027249848,0.09222605591858934,0.018452933728650988
365,3,FALSE,0.0039247893989389025,0.02943598897126195,0.003917274925004708,0.02945368991683831
365,3,TRUE,0.010247494700358887,0.026187021421116504,0.010247494700358887,0.026187021421116504
455,0,FALSE,0.08674813578077395,0.004597169660547457,0.09941064728857658,0.03319210308398242
455,0,TRUE,0.06236118325104816,0.0043671508730727115,0.08287940243768162,0.028726701736378514
455,1,FALSE,0.10303036452335874,0.008988564488704364,0.11961686455128136,0.02237808692575112
455,1,TRUE,0.09805241118383572,0.008494086144950126,0.11748724562736335,0.02241255528632453
455,2,FALSE,0.16049794810333376,0.012716889046513998,0.1676643625283927,0.01887189725192918
455,2,TRUE,0.12486373847391292,0.012751859713883538,0.1329652532441265,0.01765151377157993
455,3,FALSE,0.05231535929588716,0.022973830918948255,0.05231535929588716,0.022973830918948255
455,3,TRUE,0.04197742554088958,0.021670028391457544,0.04197742554088958,0.021670028391457544
545,0,FALSE,0.09195225494225294,0.0042244009889961884,0.0974955478303282,0.04018330564154839
545,0,TRUE,0.05901774544105383,0.004048488691612131,0.0740984190262103,0.03377739922853316
545,1,FALSE,0.09209590394317888,0.008196027731316717,0.11340831923651983,0.02151430934822282
545,1,TRUE,0.09060182481595637,0.007718136019582739,0.11632265373455894,0.022282092043940906
545,2,FALSE,0.15947343383383186,0.012254524527184382,0.17432974974882653,0.025355787669364985
545,2,TRUE,0.1285576260856338,0.012112730644713354,0.1437908008219667,0.022910867206326603
545,3,FALSE,0.10048861303775758,0.01811126941785737,0.10126871741761459,0.023444634572076517
545,3,TRUE,0.06666020919114621,0.018212169577433598,0.06666020919114621,0.018212169577433598
635,0,FALSE,0.0869582280955559,0.003942799206048323,0.08108168519904034,0.04607824937143547
635,0,TRUE,0.049910982016918515,0.003796179316656168,0.05585790104546294,0.03835214609377584
635,1,FALSE,0.10269755564090352,0.007581480423902364,0.12952830189807335,0.024336395984921707
635,1,TRUE,0.09772671415672428,0.007144603528313804,0.12945943061448606,0.02472145890871692
635,2,FALSE,0.11884649365526863,0.011665702147693672,0.1346678604986326,0.02184326523308576
