bandwidth,order,lag,fe_cace,fe_se,re_cace,re_se
635,2,TRUE,0.09920877150017042,0.011248483376264407,0.11692646109778398,0.020738246674907604
635,3,FALSE,0.12998587239875556,0.01799382048799625,0.12999533415711895,0.018011873629182062
635,3,TRUE,0.12295554512512048,0.018208397172373984,0.12295554512512048,0.018208397172373984
730,0,FALSE,0.07581628759931917,0.0037240970080505776,0.056420134387665515,0.05217928069992867
730,0,TRUE,0.037792437033006845,0.00358583116694258,0.03260518722959103,0.041999437709126175
730,1,FALSE,0.11712921991008697,0.007032737173448812,0.14876842994517897,0.027431332591806235
730,1,TRUE,0.10629923590731293,0.006651900937779247,0.14322198258075994,0.027382168308507315
730,2,FALSE,0.0982697042171617,0.01113621542680893,0.11472668852777008,0.020147613193144173
730,2,TRUE,0.08908737816853371,0.010560476868640116,0.10925221444836862,0.020291045728685522
730,3,FALSE,0.157214051330601,0.015552945723087814,0.15455759301237929,0.024726812337610562
730,3,TRUE,0.132030299400041,0.01703199735530659,0.13240704542484108,0.024819738196276017
